"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 17-Mar-2020","30 D % CHNG 
 15-Feb-2021"
"NIFTY 50","14,736.30","14,763.90","14,597.85","14,744.00","14,736.40","-7.60","-0.05",458997059,"273,448,263,647.90","15,431.75","8,055.80","68.59","-1.59"
"ADANIPORTS","686.00","726.25","681.00","686.25","721.95","35.70","5.20",22864950,"16,277,786,554.50","767.80","203.00","167.65","5.01"
"TECHM","989.90","1,017.40","978.30","989.45","1,014.90","25.45","2.57",3873143,"3,885,575,789.03","1,081.55","471.40","71.68","-0.45"
"BRITANNIA","3,440.10","3,570.00","3,440.10","3,466.60","3,555.10","88.50","2.55",820046,"2,896,058,052.68","4,010.00","2,100.00","40.47","4.06"
"TCS","3,048.70","3,139.45","3,018.65","3,050.20","3,128.00","77.80","2.55",2821646,"8,707,655,988.92","3,339.80","1,546.75","69.70","-0.70"
"SUNPHARMA","578.60","593.60","578.60","578.30","591.25","12.95","2.24",7033955,"4,143,913,909.15","654.40","312.00","58.33","-4.78"
"INFY","1,350.10","1,376.00","1,336.10","1,344.45","1,371.10","26.65","1.98",4862758,"6,593,559,454.94","1,406.00","509.25","129.74","4.12"
"HINDALCO","335.10","342.65","331.10","335.10","341.70","6.60","1.97",8470164,"2,842,925,844.96","361.30","84.90","217.63","8.80"
"DRREDDY","4,276.90","4,367.95","4,268.25","4,274.45","4,350.55","76.10","1.78",867303,"3,760,504,385.58","5,512.65","2,495.05","47.53","-8.69"
"HCLTECH","960.45","982.45","944.60","960.45","977.05","16.60","1.73",4745254,"4,590,274,004.36","1,067.00","375.25","115.88","1.08"
"HINDUNILVR","2,310.10","2,356.50","2,302.00","2,312.05","2,352.00","39.95","1.73",2471516,"5,770,025,968.76","2,614.30","1,757.30","12.69","6.00"
"TATASTEEL","731.10","745.65","725.00","733.00","745.00","12.00","1.64",13760370,"10,172,078,315.10","782.50","250.85","146.18","9.29"
"NTPC","108.80","110.55","106.85","108.50","110.25","1.75","1.61",31980425,"3,496,100,061.00","114.70","73.20","33.54","4.13"
"CIPLA","762.00","784.60","758.70","760.65","772.00","11.35","1.49",3563266,"2,759,500,088.38","878.90","362.90","93.65","-5.78"
"ITC","223.30","226.40","221.50","222.95","226.00","3.05","1.37",46050245,"10,333,674,978.00","239.20","139.00","27.04","3.24"
"BPCL","438.25","442.00","434.35","432.95","438.30","5.35","1.24",13671931,"5,998,286,287.63","482.40","252.00","36.21","0.69"
"WIPRO","411.05","416.25","410.20","410.50","415.40","4.90","1.19",6622984,"2,741,716,686.48","467.45","159.40","129.07","-4.52"
